Date, Time, Type, ID0, ID1, ID2, Sensor Data, Temperature, Humidity, Raw Data,RSSI,dBm,Label
13/3/20, 15:59:37, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x7577,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B013100037577B5,181,-26.206,4
13/3/20, 15:59:38, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7A74,32.8,53, 0201041AFF4C0002150005000100001000800000805F9B013100057A74B8,184,-24.784,4
13/3/20, 15:59:39, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74B3,179,-27.154,4
13/3/20, 15:59:39, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975B9,185,-24.31,4
13/3/20, 15:59:39, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7B75,33.5,54, 0201041AFF4C0002150005000100001000800000805F9B013100067B75B9,185,-24.31,4
13/3/20, 15:59:39, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7776,34.1,52, 0201041AFF4C0002150005000100001000800000805F9B013100027776B8,184,-24.784,4
13/3/20, 15:59:40, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x7577,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B013100037577B6,182,-25.732,4
13/3/20, 15:59:41, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975B8,184,-24.784,4
13/3/20, 15:59:41, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7A74,32.8,53, 0201041AFF4C0002150005000100001000800000805F9B013100057A74B7,183,-25.258,4
13/3/20, 15:59:42, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74B7,183,-25.258,4
13/3/20, 15:59:42, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7B75,33.5,54, 0201041AFF4C0002150005000100001000800000805F9B013100067B75B6,182,-25.732,4
13/3/20, 15:59:42, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7776,34.1,52, 0201041AFF4C0002150005000100001000800000805F9B013100027776B4,180,-26.68,4
13/3/20, 15:59:43, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975B8,184,-24.784,4
13/3/20, 15:59:43, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B013100037677B9,185,-24.31,4
13/3/20, 15:59:44, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7A74,32.8,53, 0201041AFF4C0002150005000100001000800000805F9B013100057A74B1,177,-28.102,4
13/3/20, 15:59:45, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975B9,185,-24.31,4
13/3/20, 15:59:45, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74B6,182,-25.732,4
13/3/20, 15:59:45, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7B75,33.5,54, 0201041AFF4C0002150005000100001000800000805F9B013100067B75B6,182,-25.732,4
13/3/20, 15:59:45, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7776,34.1,52, 0201041AFF4C0002150005000100001000800000805F9B013100027776B6,182,-25.732,4
13/3/20, 15:59:47, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975B9,185,-24.31,4
13/3/20, 15:59:47, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B013100037677B9,185,-24.31,4
13/3/20, 15:59:47, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7A74,32.8,53, 0201041AFF4C0002150005000100001000800000805F9B013100057A74B1,177,-28.102,4
13/3/20, 15:59:48, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74BC,188,-22.888,4
13/3/20, 15:59:48, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7B75,33.5,54, 0201041AFF4C0002150005000100001000800000805F9B013100067B75B4,180,-26.68,4
13/3/20, 15:59:49, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7776,34.1,52, 0201041AFF4C0002150005000100001000800000805F9B013100027776B9,185,-24.31,4
13/3/20, 15:59:49, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975B9,185,-24.31,4
13/3/20, 15:59:49, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7A74,32.8,53, 0201041AFF4C0002150005000100001000800000805F9B013100057A74BC,188,-22.888,4
13/3/20, 15:59:50, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B013100037677C1,193,-20.518,4
13/3/20, 15:59:51, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975BA,186,-23.836,4
13/3/20, 15:59:53, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74BB,187,-23.362,4
13/3/20, 15:59:53, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7B75,33.5,54, 0201041AFF4C0002150005000100001000800000805F9B013100067B75B4,180,-26.68,4
13/3/20, 15:59:53, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7776,34.1,52, 0201041AFF4C0002150005000100001000800000805F9B013100027776B9,185,-24.31,4
13/3/20, 15:59:53, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7A74,32.8,53, 0201041AFF4C0002150005000100001000800000805F9B013100057A74BD,189,-22.414,4
13/3/20, 15:59:53, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975BB,187,-23.362,4
13/3/20, 15:59:53, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B013100037677C1,193,-20.518,4
13/3/20, 15:59:55, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975B6,182,-25.732,4
13/3/20, 15:59:55, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74B4,180,-26.68,4
13/3/20, 15:59:55, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7A74,32.8,53, 0201041AFF4C0002150005000100001000800000805F9B013100057A74B7,183,-25.258,4
13/3/20, 15:59:55, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7776,34.1,52, 0201041AFF4C0002150005000100001000800000805F9B013100027776B9,185,-24.31,4
13/3/20, 15:59:56, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B013100037677B5,181,-26.206,4
13/3/20, 15:59:57, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975B6,182,-25.732,4
13/3/20, 15:59:58, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7A74,32.8,53, 0201041AFF4C0002150005000100001000800000805F9B013100057A74B9,185,-24.31,4
13/3/20, 15:59:58, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74B5,181,-26.206,4
13/3/20, 15:59:58, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7B75,33.5,54, 0201041AFF4C0002150005000100001000800000805F9B013100067B75B9,185,-24.31,4
13/3/20, 15:59:59, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x7975,33.5,53, 0201041AFF4C0002150005000100001000800000805F9B013100017975B6,182,-25.732,4
13/3/20, 15:59:59, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x7677,34.8,51, 0201041AFF4C0002150005000100001000800000805F9B013100037677B5,181,-26.206,4
13/3/20, 16:00:00, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7A74,32.8,53, 0201041AFF4C0002150005000100001000800000805F9B013100057A74B1,177,-28.102,4
